strain	date	url	mutational_fitness	epiweek	recency	pango_lineage	country	region	division	emerging_lineage	host	genbank_accession	S1_mutations	clade_membership	current_frequency	author	accession	submitting_lab	originating_lab	logistic_growth
USA/DC-DFS-PHL-01635/2021	8/19/21		0.83	202133	Older	AY.103	USA	North America	Washington DC		Homo sapiens	OK662860	8	21J (Delta)		Nguyen et al K				
USA/WV079905/2021	10/11/21		0.83	202141	Older	AY.103	USA	North America	West Virginia		Homo sapiens	OL459150	8	21J (Delta)		Denvir et al H				
USA/ME-CDC-ASC210487865/2021	11/19/21		0.87	202146	Older	AY.103	USA	North America	Maine		Homo sapiens	OL859882	9	21J (Delta)		Howard et al IU		CDC-OAMD	Aegis Sciences Corporation	
USA/ND-CDC-QDX31092719/2021	11/10/21		0.82	202145	Older	AY.103	USA	North America	North Dakota		Homo sapiens	OL708576	8	21J (Delta)		Howard et al IV		CDC-OAMD	Quest Diagnostics Incorporated	
USA/MI-CDC-QDX25620358/2021	6/3/21		0.89	202122	Older	AY.39	USA	North America	Michigan		Homo sapiens	MZ410227	9	21J (Delta)		Howard et al IW				
USA/GA-GPHL-1153/2021	8/5/21		0.88	202131	Older	AY.39	USA	North America	Georgia		Homo sapiens	MZ905392	9	21J (Delta)		Parrott et al B				
USA/MT-CDC-STM-000711004/2021	7/25/21		0.9	202130	Older	AY.39	USA	North America	Montana		Homo sapiens	OL526884	9	21J (Delta)		Howard et al IX		CDC-OAMD	'Helix'	
USA/MI-MDHHS-SC37400/2021	11/18/21		0.9	202146	Older	AY.39	USA	North America	Michigan		Homo sapiens	OM055571	9	21J (Delta)		Blankenship et al G				
USA/NJ-CDC-LC0292625/2021	9/23/21		0.87	202138	Older	AY.39	USA	North America	New Jersey		Homo sapiens	OK457498	9	21J (Delta)		Howard et al IY				
USA/LA-BIE-LSUH001681/2021	7/30/21		0.89	202130	Older	AY.39	USA	North America	Louisiana		Homo sapiens	MZ712822	9	21J (Delta)		Feehan et al C				
USA/NY-CDC-ASC210455491/2021	11/9/21		0.89	202145	Older	AY.39	USA	North America	New York		Homo sapiens	OL921398	10	21J (Delta)		Howard et al IZ		CDC-OAMD	Aegis Sciences Corporation	
USA/IL-CDC-QDX28939010/2021	9/18/21		0.9	202137	Older	AY.39	USA	North America	Illinois		Homo sapiens	OK443640	9	21J (Delta)		Howard et al JA				
USA/SD-CDC-ASC210309007/2021	10/4/21		0.87	202140	Older	AY.117	USA	North America	South Dakota		Homo sapiens	OL611794	8	21J (Delta)		Howard et al JB		CDC-OAMD	Aegis Sciences Corporation	
USA/OR-CDC-LC0365442/2021	11/2/21		0.86	202144	Older	AY.117	USA	North America	Oregon		Homo sapiens	OL558629	9	21J (Delta)		Howard et al JC		CDC-OAMD	Laboratory Corporation of America	
USA/NMDOH-2021241507/2021	12/29/21		0.85	202152	Older	AY.117	USA	North America	New Mexico		Homo sapiens	OM799786	9	21J (Delta)		Johnson et al E		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	
USA/TG1016054/2021	7/18/21		0.87	202129	Older	AY.116.1	USA	North America	Arizona		Homo sapiens	OK467715	9	21J (Delta)		Bowers et al I		The Translational Genomics Research Institute COVID submission group	Sonora Quest Laboratories - Phoenix	
USA/ND-CDC-2-4679495/2021	7/19/21		0.93	202129	Older	AY.83	USA	North America	North Dakota		Homo sapiens	OK045195	8	21J (Delta)		Sheth et al AK				
USA/CA-CDC-FG-138198/2021	9/27/21		0.85	202139	Older	AY.120.1	USA	North America	California		Homo sapiens	OK395046	9	21J (Delta)		Howard et al JD				
USA/IL-CDC-ASC210456962/2021	11/12/21		0.84	202145	Older	AY.118	USA	North America	Illinois		Homo sapiens	OL733254	9	21J (Delta)		Howard et al JE				
USA/MS-MSPHL-0605/2021	11/15/21		0.85	202146	Older	AY.118	USA	North America	Mississippi		Homo sapiens	OL841744	8	21J (Delta)		Karolewicz et al C		Mississippi Public Health Lab	MS PHL	
USA/NY-CDC-ASC210608272/2021	12/8/21		0.84	202149	Older	AY.118	USA	North America	New York		Homo sapiens	OL996660	9	21J (Delta)		Howard et al JF				
USA/MI-CDC-STM-9XQT3NB7E/2021	12/3/21		0.84	202148	Older	AY.44	USA	North America	Michigan		Homo sapiens	OL932461	9	21J (Delta)		Howard et al JG		CDC-OAMD	'Helix'	
USA/OKPHLCOV0002418/2021	8/31/21		0.86	202135	Older	AY.119	USA	North America	Oklahoma		Homo sapiens	OL320574	8	21J (Delta)		Grimaldo et al B				
USA/MT-CDC-LC0357456/2021	10/27/21		0.94	202143	Older	AY.119.2	USA	North America	Montana		Homo sapiens	OL487672	10	21J (Delta)		Howard et al JH				
USA/NC-CDC-LC0255374/2021	9/2/21		0.86	202135	Older	AY.119	USA	North America	North Carolina		Homo sapiens	OK277860	9	21J (Delta)		Howard et al JI				
USA/CT-CDC-LC0288278/2021	9/16/21		0.86	202137	Older	AY.119	USA	North America	Connecticut		Homo sapiens	OK453583	9	21J (Delta)		Howard et al JJ				
USA/SC-CDC-QDX29125024/2021	9/25/21		0.86	202138	Older	AY.119	USA	North America	South Carolina		Homo sapiens	OK447592	9	21J (Delta)		Howard et al JK				
USA/CT-CDC-QDX30240391/2021	10/18/21		0.9	202142	Older	AY.119	USA	North America	Connecticut		Homo sapiens	OL360211	10	21J (Delta)		Howard et al JL				
PRI/PR-UPRRP-5006/2021	9/9/21		0.84	202136	Older	AY.43	USA	North America	Puerto Rico		Homo sapiens	ON065308	8	21J (Delta)		Van Belleghem et al B				
